#Transcript position	Transcript coverage profile
0.0	121.94679465445445
1.0	126.35913099237273
2.0	131.97147413934502
3.0	127.61672210951562
4.0	123.54435641246575
5.0	129.86547355105964
6.0	134.8908267514225
7.0	138.33640918085595
8.0	137.95734328116114
9.0	138.57400575477948
10.0	140.33071208903826
11.0	144.9926611405765
12.0	146.65199363173133
13.0	153.22290089646495
14.0	154.80655369175025
15.0	154.52427789548568
16.0	151.53939012791454
17.0	142.96802768233192
18.0	140.30534737012715
19.0	144.8572170850407
20.0	149.19247565893141
21.0	147.04478509825213
22.0	145.90727918342427
23.0	144.642857576433
24.0	154.79151992512593
25.0	160.27829834713734
26.0	162.44051122147746
27.0	164.01642650434522
28.0	165.81563659943922
29.0	166.9030936218564
30.0	164.56191820196443
31.0	163.7826446564662
32.0	167.22666463198104
33.0	172.02900678026094
34.0	170.8378021664173
35.0	170.19122684752764
36.0	170.4691226516108
37.0	175.4936599045738
38.0	176.78487991040126
39.0	179.61292099068302
40.0	185.60401820585648
41.0	184.6193477832776
42.0	184.97046499020018
43.0	182.0162840408191
44.0	189.5003557875371
45.0	187.06933308779784
46.0	178.84827658990176
47.0	166.95530080584965
48.0	169.84079534400385
49.0	172.86310121172306
50.0	170.00889323454376
51.0	169.5111038486829
52.0	164.86045759020283
53.0	161.40764034740704
54.0	158.8821411201625
55.0	149.34477103932218
56.0	148.10324522424457
57.0	144.235238764983
58.0	151.18010061225712
59.0	156.31321186449367
60.0	161.07007189371308
61.0	163.32863143999586
62.0	168.44710893850234
63.0	167.46696216712232
64.0	167.76953973924316
65.0	164.18667760940326
66.0	159.06427532803275
67.0	155.4677785790625
68.0	152.4887305328653
69.0	152.0754749490763
70.0	148.18610035130845
71.0	148.7724101398933
72.0	149.50677591790546
73.0	146.2561972120816
74.0	145.03646719748266
75.0	139.87849526374606
76.0	139.14235043964047
77.0	139.1194677980479
78.0	133.6535939174958
79.0	129.01492355515416
80.0	131.50900942731377
81.0	136.30064237602426
82.0	137.94230506779968
83.0	139.86848630673282
84.0	139.25538460072093
85.0	138.34882953808975
86.0	138.17026491923144
87.0	131.73791225814335
88.0	126.52430538390813
89.0	124.93826090477395
90.0	118.99773355368376
91.0	106.52089075049993
92.0	98.28753922727378
93.0	94.29584133512684
94.0	86.41234638111173
95.0	73.35539511102925
96.0	47.380321386719345
97.0	35.25408830314463
98.0	20.462144967463637
99.0	2.868035973602601
