#Transcript position	Transcript coverage profile
0.0	147.73127842129202
1.0	152.7949530611499
2.0	159.88108760144254
3.0	156.08332681533773
4.0	152.58158436639715
5.0	159.2432022795271
6.0	165.25482464935715
7.0	169.06186046820287
8.0	169.16961688959492
9.0	169.72147226134413
10.0	171.27983748849965
11.0	175.59061135519704
12.0	177.501220218433
13.0	184.12978923609032
14.0	186.06420509501694
15.0	186.07776645373482
16.0	183.12068549503695
17.0	174.98319687971178
18.0	172.99603325543953
19.0	177.89889405885884
20.0	182.01268545954898
21.0	179.76659176235614
22.0	178.53238099540306
23.0	177.57538038543862
24.0	187.23854673527345
25.0	192.4963291908351
26.0	194.95373499222003
27.0	196.58675985827915
28.0	198.77794510924488
29.0	199.38332822490776
30.0	197.14709119153727
31.0	196.3556031747581
32.0	199.56061454500932
33.0	204.25413429523172
34.0	203.13914484549585
35.0	202.0989676292537
36.0	202.4075802767949
37.0	206.98469085188853
38.0	208.47620544991443
39.0	212.03873978274652
40.0	218.54737120816785
41.0	217.53954654801404
42.0	217.84138037174597
43.0	214.27895050883282
44.0	222.17224172076627
45.0	219.62714074010873
46.0	211.61926860980742
47.0	200.41734064642992
48.0	204.06609875980973
49.0	207.7231565387759
50.0	204.54240417444575
51.0	203.67525926513184
52.0	198.60104770538203
53.0	195.986850886551
54.0	193.59990971949966
55.0	184.7514634288932
56.0	183.21012952470082
57.0	179.4541425740924
58.0	186.75483710694422
59.0	191.27860947269951
60.0	195.8438426629761
61.0	198.25856076055044
62.0	203.468513798959
63.0	202.73531483301437
64.0	202.32731416273444
65.0	198.43655866859902
66.0	192.948091064901
67.0	189.87258855403726
68.0	186.52845421330272
69.0	186.54495379590693
70.0	183.09633901896902
71.0	183.97381928605887
72.0	184.7267164235514
73.0	180.89526173705485
74.0	179.26989526528953
75.0	174.3467422835038
76.0	173.75409253673118
77.0	174.38484952041713
78.0	168.9835289635471
79.0	164.86072394260376
80.0	167.93315160789953
81.0	172.94250128733657
82.0	175.6742796639821
83.0	177.6854045442357
84.0	177.1782950391492
85.0	176.66118995233333
86.0	175.6680430962318
87.0	168.94788534443688
88.0	163.19583777913118
89.0	160.19743023896166
90.0	152.73425782225897
91.0	137.98776825896746
92.0	126.74984273670542
93.0	120.06367409297857
94.0	109.8248615616068
95.0	94.35894956607417
96.0	64.72031010089134
97.0	48.97324301841262
98.0	30.18543170463734
99.0	6.216863242795924
