ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	PKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
ENSG00000271530	331	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000220212	938	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000170590	727	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000217929	2812	1	1	0	0	0.355618776671408	13.4530822679658	0	0	NA	0	0	0
ENSG00000218577	709	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000263667	2050	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000205653	2007	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000112679	5686	28	27	0.0357142857142857	1	4.9243756595146	186.289462794681	28	27	0.0357142857142857	1	4.9243756595146	186.289462794681
ENSG00000137265	5898	276	262	0.0507246376811594	14	46.795523906409	1770.27782047397	276	262	0.0507246376811594	14	46.795523906409	1770.27782047397
ENSG00000112685	4989	16	16	0	0	3.20705552214873	121.323126358051	16	16	0	0	3.20705552214873	121.323126358051
ENSG00000230433	851	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000188996	1025	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000219712	1227	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000272463	2814	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000271727	423	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000271911	2055	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000272485	2436	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000260982	2536	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000229796	403	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000270937	732	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000176515	3435	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000238438	103	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000164379	2318	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000261730	1277	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000137273	2187	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000243439	295	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000218027	1592	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000272279	548	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000054598	3447	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000112699	4304	11	9	0.181818181818182	2	2.55576208178439	96.6846516525833	11	9	0.181818181818182	2	2.55576208178439	96.6846516525833
ENSG00000250903	13177	1	1	0	0	0.0758898079987858	2.87091654682552	1	1	0	0	0.0758898079987858	2.87091654682552
ENSG00000236086	267	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000266252	100	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000272465	701	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000164385	2434	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000228718	834	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000145949	5877	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000124535	3877	8	8	0	0	2.06345112200155	78.0604948929995	8	8	0	0	2.06345112200155	78.0604948929995
ENSG00000021355	3226	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000266750	77	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000230438	1455	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000170542	4118	13	12	0.0769230769230769	1	3.15687226809131	119.424690477843	13	12	0.0769230769230769	1	3.15687226809131	119.424690477843
ENSG00000232999	193	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000228365	484	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000124570	3994	1	1	0	0	0.250375563345018	9.47172442101148	1	1	0	0	0.250375563345018	9.47172442101148
ENSG00000244041	2811	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000124588	2451	1	1	0	0	0.407996736026112	15.4345439973561	1	1	0	0	0.407996736026112	15.4345439973561
ENSG00000224846	535	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000270346	2597	3	3	0	0	1.15517905275318	43.7005013525451	3	3	0	0	1.15517905275318	43.7005013525451
ENSG00000271361	631	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000261015	2635	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000232654	417	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000217707	377	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000229282	398	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000137275	4231	9	9	0	0	2.12715670054361	80.4704812190212	9	9	0	0	2.12715670054361	80.4704812190212
ENSG00000272277	850	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000222248	124	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000137274	5780	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000228170	695	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000137267	1727	3	3	0	0	1.73711638679792	65.7152298856743	1	1	0	0	0.579038795599305	21.9050766285581
ENSG00000216819	871	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000230269	1505	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000137285	2194	2	2	0	0	0.911577028258888	34.48502036237	0	0	NA	0	0	0
ENSG00000180822	10418	2	2	0	0	0.191975427145325	7.2624433360568	2	2	0	0	0.191975427145325	7.2624433360568
ENSG00000137266	8898	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000272320	1989	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000228793	789	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000270477	153	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000168994	2474	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000270504	2761	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000219992	436	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000238158	629	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000145945	1932	1	1	0	0	0.5175983436853	19.5807801954037	1	1	0	0	0.5175983436853	19.5807801954037
ENSG00000233068	640	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000260604	7070	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000218472	371	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000217135	300	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000217566	520	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000216657	1038	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000145965	1464	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000272248	490	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000230648	209	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000112739	8016	44	42	0.0454545454545455	2	5.48902195608782	207.650070215927	34	33	0.0294117647058824	1	4.24151696606786	160.45687243958
ENSG00000145975	3138	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000252668	85	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000185689	3322	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000198721	4579	8	8	0	0	1.74710635509937	66.0931510592179	8	8	0	0	1.74710635509937	66.0931510592179
ENSG00000254821	640	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000234817	2277	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000237716	266	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000216307	691	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000231811	329	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000201185	119	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000260239	2272	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000270695	287	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000260673	573	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000205444	484	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000238801	93	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000217385	1317	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000153046	4531	7	7	0	0	1.54491282277643	58.4441561162302	7	7	0	0	1.54491282277643	58.4441561162302
ENSG00000236336	369	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000217030	423	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000124787	1962	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000272142	1489	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000271978	3273	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000252419	518	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000220685	1188	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000219607	1736	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000214113	9443	5	4	0.2	1	0.52949274594938	20.0307462339934	5	4	0.2	1	0.52949274594938	20.0307462339934
ENSG00000265083	90	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000264541	70	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000145982	2351	3	3	0	0	1.2760527435134	48.2731612133388	3	3	0	0	1.2760527435134	48.2731612133388
ENSG00000220446	359	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000269985	1333	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000218574	969	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000270174	806	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000217239	354	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000216360	946	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000233064	411	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000239472	285	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000215057	1601	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000124785	1762	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000264121	102	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000124491	4690	10	10	0	0	2.13219616204691	80.661124387036	10	10	0	0	2.13219616204691	80.661124387036
ENSG00000263572	76	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000216863	5603	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000241216	301	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000218868	935	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000112799	1254	37	35	0.0540540540540541	2	29.5055821371611	1116.19815908153	37	35	0.0540540540540541	2	29.5055821371611	1116.19815908153
ENSG00000261211	3325	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000226281	568	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000224532	506	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000219986	488	1	1	0	0	2.04918032786885	77.5206297899997	1	1	0	0	2.04918032786885	77.5206297899997
ENSG00000223342	933	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000240936	296	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000203498	517	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000251762	87	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000124782	17254	11	11	0	0	0.637533325605657	24.117928637575	11	11	0	0	0.637533325605657	24.117928637575
ENSG00000225092	1676	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000201483	105	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000124783	11356	154	148	0.038961038961039	6	13.5611130679817	513.017820533468	152	146	0.0394736842105263	6	13.3849947164495	506.35525143563
ENSG00000238221	500	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000164304	3512	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000219375	391	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000220472	730	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000230570	1203	0	0	NA	0	0	0	0	0	NA	0	0	0
ENSG00000124784	3237	10	10	0	0	3.08928019771393	116.867677903985	10	10	0	0	3.08928019771393	116.867677903985
ENSG00000233503	1501	0	0	NA	0	0	0	0	0	NA	0	0	0
