# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "/data/input.gtf" "-o" "/data/output/featureCounts.tsv" "-T" "1" "-s" "0" "-p" "/data/input.bam"
Geneid	Chr	Start	End	Strand	Length	/data/input.bam
ENSG00000271530	6	95124	95454	+	331	0
ENSG00000220212	6	105919	106856	-	938	0
ENSG00000170590	6;6;6	131910;140211;144536	132117;140379;144885	-;-;-	727	0
ENSG00000217929	6	142272	145083	-	2812	0
ENSG00000218577	6;6;6	167607;169545;170352	167826;169753;170631	-;-;-	709	0
ENSG00000263667	6;6;6;6;6;6;6;6	181466;182366;184593;186356;187736;189476;198165;204887	181695;182474;184809;186561;187906;189649;198509;205484	-;-;-;-;-;-;-;-	2050	0
ENSG00000205653	6;6	203313;205487	204413;206392	+;+	2007	0
ENSG00000112679	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	291630;292097;292274;292275;292384;292462;292462;292477;292479;292520;292540;304628;304628;304628;304628;304628;304628;304628;304628;311880;311880;311880;311880;311880;311880;311880;311880;319926;319952;325167;335114;335114;335114;335114;335114;337039;338006;345854;345854;345854;345854;345854;345854;345854;345854;345854;345854;345854;345854;345854;345854;345854;345854;348103;348103;348103;348103;348103;348103;348103;348103;348103;348103;348103;348103;348103;348103;348103;348769;348769;348769;348769;348769;348769;348769;348769;348769;350822;350822;350822	291700;292560;292560;292560;292560;292560;292560;292560;292560;292560;292560;304661;304661;304661;304661;304661;304661;304661;304661;311914;311962;311962;311962;311962;311962;311962;311962;320364;320364;326158;335163;335163;335163;335163;335163;337187;338081;345928;345928;345928;345928;345912;345928;345928;345928;345928;345928;345928;345928;345928;345928;345928;345928;348274;348274;348161;348274;348274;348269;349057;348496;348274;348274;348232;348274;348274;348274;348194;348841;348908;351353;348841;351353;349471;349102;348954;348841;350928;350950;351355	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5686	56
ENSG00000137265	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	391739;391752;391768;391768;393098;393098;393279;394821;394821;394821;394821;394821;395847;395847;395847;395847;395847;397108;397108;397108;398828;398828;401424;401424;405018;405018;406766;407455;407455	391809;391809;391809;391809;393368;393368;393368;395007;395007;395007;395007;395007;395915;395935;396074;395935;395935;397252;397546;397252;398935;398935;401777;401777;405130;405130;406899;407618;411447	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5898	549
ENSG00000112685	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	485133;486518;488979;488979;491125;491125;497367;497367;499645;499645;532469;532469;549175;549175;553854;553854;555227;555227;555954;555954;556484;556484;562784;562784;564033;564033;564545;564545;564864;564864;572520;572520;576757;576757;592469;598021;598860;599080;610098;617711;619430;629835;629835;632941;632941;637701;637701;657163;679143;689139;689139;693019;693019;693019;693019	486764;486764;489038;489038;491186;491186;497489;497489;499700;499700;532610;532610;549291;549291;553920;553920;555288;555288;556013;556013;556564;556564;562845;562845;564154;564154;564702;564702;564929;564929;572644;572644;576882;576882;592587;598123;598941;599225;610178;617835;619543;629961;629961;633117;633117;637861;637861;657250;679514;689212;689212;693108;693111;693117;693111	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4989	32
ENSG00000230433	6;6	524171;524873	524312;525581	+;+	851	0
ENSG00000188996	6	655939	656963	-	1025	0
ENSG00000219712	6	669081	670307	-	1227	0
ENSG00000272463	6	708592	711405	-	2814	0
ENSG00000271727	6;6;6;6	711533;713714;747943;750659	711600;713888;748051;750729	+;+;+;+	423	0
ENSG00000271911	6;6;6	761675;778760;779927	762881;778885;780648	+;+;+	2055	0
ENSG00000272485	6;6	774747;780002	776969;780214	-;-	2436	0
ENSG00000260982	6;6	905462;909563	907965;909594	-;-	2536	0
ENSG00000229796	6;6	958563;962375	958828;962511	-;-	403	0
ENSG00000270937	6	1026729	1027460	-	732	0
